"2017-06-22","浙江鸿富建设有限公司","330682000018392","3306823000000904","2082120625E91EDD53E8C65BF94F3EE4B08685D23A98ADDAD07DF06B5581D85C","91330604712578505K"
"2017-06-22","上虞市兴发建筑装潢工程部","330682000018405","3306820000109658","D75C0A80E68F9AAB394CD615B6CD3F69B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞金枞电气控制系统有限公司","330682000018413","3306820000109659","2AB4CD006C01F0EDF2AB76A4EF88DC3AB08685D23A98ADDAD07DF06B5581D85C","913306046725975679"
"2017-06-22","上虞市中原房产信息有限公司","330682000018421","3306820000109661","DA757B83B6A4FD2ECCC5E02B64CB1E44B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江东灵节能材料开发有限公司","330682000018430","3306820000109662","CB2DF051E4DB8FDCD14EFC25E7ED7968B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市小越明康厨具厂","330682000018448","3306820000109664","73083C62C7C976675C18BC77662CD7CFB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市虞北油品有限责任公司","330682000018456","3306820000069438","1BA527B85A2CF293FC1754FCA628DB42B08685D23A98ADDAD07DF06B5581D85C","913306007303163735"
"2017-06-22","绍兴市上虞区威特塑业有限公司","330682000018464","3306820000109667","9446AE2149745980B02727CD5B89F549B08685D23A98ADDAD07DF06B5581D85C","91330604672576301E"
"2017-06-22","绍兴上虞聚华化工有限公司","330682000018472","3306820000109668","C4C36ECD1A1F3B200067CDFBDD5608C7B08685D23A98ADDAD07DF06B5581D85C","91330604672575739R"
"2017-06-22","绍兴市上虞区盛文物资有限公司","330682000018489","3306823000000082","7C40EE60BC75C6D390CC61F729913482B08685D23A98ADDAD07DF06B5581D85C","913306047125820292"
"2017-06-22","上虞市联成光电有限公司","330682000018497","3306820000109675","3CADA102769C605EF7656A01DA25880AB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞新发拆迁有限公司","330682000018501","3306820000084898","AB74510E91A2AAB791EB269824C677F6B08685D23A98ADDAD07DF06B5581D85C","91330604751936010P"
"2017-06-22","上虞市利荣拆迁工程有限公司","330682000018510","3306820000088926","BB18666F605FB73DAAF13BC111DB3FFCB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞华杰纸业包装制品厂","330682000018528","3306820000109693","AEE426E2E9444A44396D2FE97A612118B08685D23A98ADDAD07DF06B5581D85C","91330604672593064N"
"2017-06-22","绍兴上虞小越灵通通信器材厂","330682000018536","3306820000109694","58D28938C9D07174AE4EDE28924EE217B08685D23A98ADDAD07DF06B5581D85C","91330604672592475A"
"2017-06-22","上虞市悦彩顔料化工有限公司","330682000018544","3306820000109701","8743560FCB7C12C972CBFC6DA2E4BBD8B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江上风冷却塔有限公司","330682000018552","3306820000092125","3423E9541B5BB43ACA72CE5CE8FDA233B08685D23A98ADDAD07DF06B5581D85C","913306047679848343"
"2017-06-22","上虞市鼎盛贸易有限公司","330682000018569","3306820000109705","013D586F9404DDD41F62E5FAC7164B76B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞恒富进出口有限公司","330682000018577","3306820000109706","C0F6CD2C191E72BD0E7DC50DD1972B46B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞银通物资贸易有限公司","330682000018585","3306820000109709","4CC98893EC5489795549F58EB6B48B25B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市新业轴承厂","330682000018593","3306820000081711","8134FE0D9DD40DD6B1B2CD7D637A66C3B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区浙石油品经销有限公司","330682000018608","3306821000000272","142BCFF520D98E40DB6B4EDA2B32C506B08685D23A98ADDAD07DF06B5581D85C","91330604146127776U"
"2017-06-22","绍兴市上虞区龙山劳务有限公司","330682000018616","3306820000094582","955A5E62F94A59FE099696F1FAC245F0B08685D23A98ADDAD07DF06B5581D85C","91330604774369899D"
"2017-06-22","泰康人寿保险有限责任公司浙江绍兴上虞营销服务部","330682000018624","3306820000082862","DF0048D0F37145E5F455F02E1EE4907EB08685D23A98ADDAD07DF06B5581D85C","91330604744142896N"
"2017-06-22","绍兴上虞海特铜铝管厂","330682000018649","3306820000109718","CD365ADDD1C57F881CD68F709493AC7FB08685D23A98ADDAD07DF06B5581D85C","913306046725867538"
"2017-06-22","浙江朝诚电机有限公司","330682000018657","3306820000104730","8D48DADECFAF3429FD2637B59682D949B08685D23A98ADDAD07DF06B5581D85C","91330604799630643W"
"2017-06-22","绍兴市上虞天盛网络技术服务有限公司","330682000018665","3306820000101148","A0A7E37CFBABF3E3200F92BE679D019CB08685D23A98ADDAD07DF06B5581D85C","91330604789687902X"
