"2017-06-22","绍兴市上虞弘哲投资发展有限公司","330682000048237","3306820000117111","E554A2DF5F4A1BD3DF9CDCAA31198CEDB08685D23A98ADDAD07DF06B5581D85C","91330604689954735E"
"2017-06-22","绍兴晨星平顺机电有限公司","330682000048245","3306820000117109","1C95F0021400C72BB57AA6D260538922B08685D23A98ADDAD07DF06B5581D85C","913306046899562200"
"2017-06-22","绍兴上虞远东货运代理有限公司","330682000048253","3306820000081020","29C1A89634D24968C27781C76F10A733B08685D23A98ADDAD07DF06B5581D85C","91330604736044647F"
"2017-06-22","绍兴市上虞商业综合公司","330682000048261","3306821000000768","17763D7EF39C8534D348D49389C7FF9EB08685D23A98ADDAD07DF06B5581D85C","913306041461115558"
"2017-06-22","上虞市信鼎塑料管件厂","330682000048270","3306820000117118","1461E65C06FD3C34BA63ED64217C5414B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江君晖实业有限公司","330682000048296","3306820000117113","3952C360FEE5F3C64CEE18047910EED6B08685D23A98ADDAD07DF06B5581D85C","91330604689956095B"
"2017-06-22","绍兴上虞经济开发区万灵塑料厂","330682000048307","3306820000087628","4AAB13A875F90D4640A42102E256DA2BB08685D23A98ADDAD07DF06B5581D85C","91330604758098750L"
"2017-06-22","绍兴市恒隆化工有限公司","330682000048315","3306820000085512","58A03E8BBA5DDD6C0B4686579C434A9FB08685D23A98ADDAD07DF06B5581D85C","91330604753958344J"
"2017-06-22","上虞市百官街道伟美塑粒五金厂","330682000048323","3306820000117130","F92E0F05240210942FE52EAADB13ABA8B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞顺发照明电器有限公司","330682000048331","3306820000070116","0A460DD271A884C4F910AEB68670DE66B08685D23A98ADDAD07DF06B5581D85C","91330604632722263E"
"2017-06-22","绍兴市佳兴伞业有限公司","330682000048340","3306820000093109","1CBA9E6F0BCC836DD6B6274B24E68BEAB08685D23A98ADDAD07DF06B5581D85C","913306047707291218"
"2017-06-22","绍兴圣万特热流道有限公司","330682000048358","3306820000117131","17505609D6F2FBD4F53535EB54947B42B08685D23A98ADDAD07DF06B5581D85C","91330604689961185K"
"2017-06-22","绍兴市上虞区亿特塑业有限公司","330682000048366","3306820000117134","7D1CC8E9F44E099E3D43B7D4227AED0EB08685D23A98ADDAD07DF06B5581D85C","913306046899613370"
"2017-06-22","绍兴市海大伞业有限公司","330682000048374","3306820000117135","AFB9D0D837C12AFA7795A33DA65AAA20B08685D23A98ADDAD07DF06B5581D85C","913306046899613108"
