"2017-06-22","绍兴上虞雷迪森万锦大酒店有限公司","330682000014349","3306820000104357","3FE85E8ED898BB395FEA26BE33D14B79B08685D23A98ADDAD07DF06B5581D85C","9133060479857917XB"
"2017-06-22","绍兴市上虞丰惠镇鸿林金属制品厂","330682000014357","3306820000108880","8CE580C3BDB6C2724E484D88993C28C4B08685D23A98ADDAD07DF06B5581D85C","913306046716439124"
"2017-06-22","绍兴上虞铭泰散热器有限公司","330682000014365","3306820000095375","463A45034497C27852A4A7173183D4CEB08685D23A98ADDAD07DF06B5581D85C","91330604776489704D"
"2017-06-22","上虞钢大金属材料有限公司","330682000014373","3306820000104090","3FAD349E000055D7609B0B4981271743B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市悦途旅游有限公司","330682000014381","3306821000000321","2D8C50B4C032CAB9B4123196005CEF57B08685D23A98ADDAD07DF06B5581D85C","91330604146127901G"
"2017-06-22","绍兴上虞春天房产信息有限公司","330682000014390","3306820000108900","49DF074ED422BFE363DE87DF0CD5F127B08685D23A98ADDAD07DF06B5581D85C","91330604670280080T"
"2017-06-22","上虞市嘉星商务咨询有限公司","330682000014404","3306820000108901","E05A905EED9EA1E35AB5462A106BE192B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市百官大山服装贸易经营部","330682000014412","3306820000108903","4B7084333A9B0533E54827F25B3D0196B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市舜泽广告有限公司","330682000014429","3306820000108905","940FAD28BA220E0B2397C34B12DD4FD8B08685D23A98ADDAD07DF06B5581D85C","91330604670280048F"
"2017-06-22","绍兴市上虞区琪盛染料化工有限公司","330682000014437","3306820000108907","AE4E274CB7346B25CB31CE1BAFF1E3B5B08685D23A98ADDAD07DF06B5581D85C","91330604670283361J"
"2017-06-22","上虞市通汇建筑装饰工程有限公司","330682000014445","3306820000108908","6C342E720E62C04CC6F24E5CF461B16FB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市晟日照明电器有限公司道墟分公司","330682000014453","3306820000108909","D91387BD8B234E08BBC06BF2A7E97D07B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞凯德氏儿童用品有限公司","330682000014461","3306820000108912","3D0F08ED1FF255A12E17B6AAE1979715B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞舜泰茶业有限公司","330682000014470","3306820000084358","08EB367EC73124094ACA3AB98EE7ACB6B08685D23A98ADDAD07DF06B5581D85C","913306047498271739"
"2017-06-22","绍兴市上虞区诚信电子设备有限公司","330682000014488","3306820000108915","3059FE840F5821AEE466505187376410B08685D23A98ADDAD07DF06B5581D85C","91330604670280494Y"
"2017-06-22","绍兴市上虞区舜盾市政园艺设计有限公司","330682000014496","3306820000097368","F52D0F01E600EEBCD5FAA67966E391A2B08685D23A98ADDAD07DF06B5581D85C","91330604781820588L"
"2017-06-22","绍兴市上虞金桥机电设备有限公司","330682000014507","3306820000068289","68943B81BB6AF1087E22555562BD09C3B08685D23A98ADDAD07DF06B5581D85C","913306046096727559"
"2017-06-22","绍兴市双茂电器有限公司","330682000014515","3306820000108916","5A0851620390F99E32128863C5E37395B08685D23A98ADDAD07DF06B5581D85C","91330604670281235P"
"2017-06-22","绍兴市上虞区电化厂","330682000014523","3306824000000855","A1CEE0E29AF0DA5DDD26BDDC605E7505B08685D23A98ADDAD07DF06B5581D85C","913306046096770895"
"2017-06-22","绍兴金波电子有限公司","330682000014531","3306820000108918","76E8123B07174DF5FD93FFD706DB3D70B08685D23A98ADDAD07DF06B5581D85C","91330604670285770M"
"2017-06-22","浙江越舜风机有限公司","330682000014540","3306820000094402","D26560065480015E8318B6F805A0DF13B08685D23A98ADDAD07DF06B5581D85C","91330604773146570X"
"2017-06-22","绍兴上虞创鼎通风设备厂","330682000014558","3306820000108919","267AA47021905E676D88D8C2AB6FCEA5B08685D23A98ADDAD07DF06B5581D85C","91330604670288699K"
